city,city_ascii,state_id,state_name,county_name,county_fips,zip,lat,lng,population,source,id
Dunseith,Dunseith,ND,North Dakota,Rolette,38079,58329,48.8130569,-100.0609678,773,polygon,1840000000
Mylo,Mylo,ND,North Dakota,Rolette,38079,58353,48.6352785,-99.6187555,20,polygon,1840000001
Antler,Antler,ND,North Dakota,Bottineau,38009,58711,48.9708532,-101.2823803,27,polygon,1840000002
Bottineau,Bottineau,ND,North Dakota,Bottineau,38009,58318,48.8272301,-100.4456984,2211,polygon,1840000003
Gardena,Gardena,ND,North Dakota,Bottineau,38009,58318 58748,48.700837,-100.4976393,29,polygon,1840000004
Kramer,Kramer,ND,North Dakota,Bottineau,38009,58748,48.690565,-100.7068093,29,polygon,1840000005
Landa,Landa,ND,North Dakota,Bottineau,38009,58783,48.8966855,-100.9118208,38,polygon,1840000006
Lansford,Lansford,ND,North Dakota,Bottineau,38009,58750,48.628909,-101.3757158,245,polygon,1840000007
Maxbass,Maxbass,ND,North Dakota,Bottineau,38009,58760,48.7216878,-101.1415464,84,polygon,1840000008
Newburg,Newburg,ND,North Dakota,Bottineau,38009,58762,48.7150177,-100.9129293,110,polygon,1840000009
Overly,Overly,ND,North Dakota,Bottineau,38009,58384,48.6819437,-100.150136,18,polygon,1840000010
Canton City,Canton City,ND,North Dakota,Pembina,38067,58241,48.6878745,-97.6676696,45,polygon,1840000011
Crystal,Crystal,ND,North Dakota,Pembina,38067,58222,48.5969371,-97.6695334,138,polygon,1840000012
Drayton,Drayton,ND,North Dakota,Pembina,38067,58225,48.5710958,-97.1778485,824,polygon,1840000013
Hamilton,Hamilton,ND,North Dakota,Pembina,38067,58238,48.8086008,-97.4528587,61,polygon,1840000014
Mountain,Mountain,ND,North Dakota,Pembina,38067,58262,48.6877719,-97.8650966,92,polygon,1840000015
Neche,Neche,ND,North Dakota,Pembina,38067,58265,48.9861027,-97.5548,371,polygon,1840000016
Pembina,Pembina,ND,North Dakota,Pembina,38067,58271,48.9663766,-97.2436761,592,polygon,1840000017
Cando,Cando,ND,North Dakota,Towner,38095,58324,48.4866682,-99.2098593,1115,polygon,1840000018
Egeland,Egeland,ND,North Dakota,Towner,38095,58331,48.6263945,-99.0973586,28,polygon,1840000019
Hansboro,Hansboro,ND,North Dakota,Towner,38095,58365 58339,48.9500078,-99.3829145,12,polygon,1840000020
Perth,Perth,ND,North Dakota,Towner,38095,58363,48.7163932,-99.4579209,9,polygon,1840000021
Rocklake,Rocklake,ND,North Dakota,Towner,38095,58365,48.7901657,-99.2460844,101,polygon,1840000022
Alsen,Alsen,ND,North Dakota,Cavalier,38019,58311 58352 58338,48.6305626,-98.7048488,35,polygon,1840000023
Calio,Calio,ND,North Dakota,Cavalier,38019,58352,48.6311182,-98.9329109,22,polygon,1840000024
Calvin,Calvin,ND,North Dakota,Cavalier,38019,58323,48.8525068,-98.9354078,20,polygon,1840000025
Hannah,Hannah,ND,North Dakota,Cavalier,38019,58239,48.9716708,-98.6917884,15,polygon,1840000026
Langdon,Langdon,ND,North Dakota,Cavalier,38019,58249,48.7600007,-98.3681728,1878,polygon,1840000027
Loma,Loma,ND,North Dakota,Cavalier,38019,58311,48.6302832,-98.5328984,16,polygon,1840000028
Milton,Milton,ND,North Dakota,Cavalier,38019,58260,48.6263838,-98.0426017,58,polygon,1840000029
Munich,Munich,ND,North Dakota,Cavalier,38019,58352,48.669174,-98.8326307,210,polygon,1840000030
Nekoma,Nekoma,ND,North Dakota,Cavalier,38019,58355,48.5772245,-98.370392,50,polygon,1840000031
Osnabrock,Osnabrock,ND,North Dakota,Cavalier,38019,58269,48.6688857,-98.1512186,134,polygon,1840000032
Ambrose,Ambrose,ND,North Dakota,Divide,38023,58833,48.9539222,-103.4826921,26,polygon,1840000033
Crosby,Crosby,ND,North Dakota,Divide,38023,58730,48.9141998,-103.2949095,1070,polygon,1840000034
Fortuna,Fortuna,ND,North Dakota,Divide,38023,58844,48.9100315,-103.7793697,22,polygon,1840000035
Noonan,Noonan,ND,North Dakota,Divide,38023,58765,48.8889194,-103.0087936,121,polygon,1840000036
Bowbells,Bowbells,ND,North Dakota,Burke,38013,58721,48.8030833,-102.2460008,336,polygon,1840000037
Flaxton,Flaxton,ND,North Dakota,Burke,38013,58737,48.8986389,-102.3923913,66,polygon,1840000038
Lignite,Lignite,ND,North Dakota,Burke,38013,58752,48.8775322,-102.5629488,155,polygon,1840000039
Portal,Portal,ND,North Dakota,Burke,38013,58772 58737,48.9958637,-102.5496127,126,polygon,1840000040
Powers Lake,Powers Lake,ND,North Dakota,Burke,38013,58773,48.5628042,-102.6479573,280,polygon,1840000041
Glenburn,Glenburn,ND,North Dakota,Renville,38075,58740,48.5130744,-101.2207138,380,polygon,1840000042
Grano,Grano,ND,North Dakota,Renville,38075,58750,48.6150203,-101.5865506,7,polygon,1840000043
Loraine,Loraine,ND,North Dakota,Renville,38075,58761,48.8655766,-101.5679389,9,polygon,1840000044
Mohall,Mohall,ND,North Dakota,Renville,38075,58761,48.7633556,-101.5132169,783,polygon,1840000045
Burlington,Burlington,ND,North Dakota,Ward,38101,58722,48.2752881,-101.4287751,1060,polygon,1840000046
Carpio,Carpio,ND,North Dakota,Ward,38101,58725,48.4425171,-101.7146064,157,polygon,1840000047
Des Lacs,Des Lacs,ND,North Dakota,Ward,38101,58733,48.257788,-101.5634984,204,polygon,1840000048
Donnybrook,Donnybrook,ND,North Dakota,Ward,38101,58734,48.509465,-101.8851618,59,polygon,1840000049
Douglas,Douglas,ND,North Dakota,Ward,38101,58735,47.8572261,-101.5029412,64,polygon,1840000050
Kenmare,Kenmare,ND,North Dakota,Ward,38101,58746,48.6747476,-102.0826636,1096,polygon,1840000051
Makoti,Makoti,ND,North Dakota,Ward,38101,58756,47.9611214,-101.8046105,154,polygon,1840000052
Minot,Minot,ND,North Dakota,Ward,38101,58707 58703 58702 58701,48.2325095,-101.2962732,40888,polygon,1840000053
Alamo,Alamo,ND,North Dakota,Williams,38105,58830,48.5816949,-103.4699122,57,polygon,1840000054
Epping,Epping,ND,North Dakota,Williams,38105,58843,48.2791887,-103.3571326,100,polygon,1840000055
Grenora,Grenora,ND,North Dakota,Williams,38105,58845,48.6183606,-103.9379866,244,polygon,1840000056
Ray,Ray,ND,North Dakota,Williams,38105,58849,48.3444663,-103.1651845,592,polygon,1840000057
Anamoose,Anamoose,ND,North Dakota,McHenry,38049,58710,47.8825008,-100.241246,227,polygon,1840000058
Upham,Upham,ND,North Dakota,McHenry,38049,58789,48.5816728,-100.7281937,130,polygon,1840000059
Velva,Velva,ND,North Dakota,McHenry,38049,58790,48.0561196,-100.929317,1084,polygon,1840000060
Voltaire,Voltaire,ND,North Dakota,McHenry,38049,58792,48.0205632,-100.8415372,40,polygon,1840000061
Deering,Deering,ND,North Dakota,McHenry,38049,58731,48.3955721,-101.0518201,98,polygon,1840000062
Drake,Drake,ND,North Dakota,McHenry,38049,58736,47.9241692,-100.3723605,275,polygon,1840000063
Granville,Granville,ND,North Dakota,McHenry,38049,58741,48.2677874,-100.8426438,241,polygon,1840000064
Karlsruhe,Karlsruhe,ND,North Dakota,McHenry,38049,58744,48.0900056,-100.6204201,82,polygon,1840000065
Kief,Kief,ND,North Dakota,McHenry,38049,58712 58723,47.8575023,-100.5115274,13,polygon,1840000066
New Town,New Town,ND,North Dakota,Mountrail,38061,58763,47.9808483,-102.4901804,1925,polygon,1840000067
Palermo,Palermo,ND,North Dakota,Mountrail,38061,58769,48.3397413,-102.2290557,74,polygon,1840000068
Parshall,Parshall,ND,North Dakota,Mountrail,38061,58770,47.9533459,-102.1348915,903,polygon,1840000069
Plaza,Plaza,ND,North Dakota,Mountrail,38061,58771,48.0258461,-101.9610003,171,polygon,1840000070
Brocket,Brocket,ND,North Dakota,Ramsey,38071,58321,48.2130558,-98.3570499,57,polygon,1840000071
Crary,Crary,ND,North Dakota,Ramsey,38071,58327,48.0708347,-98.6384434,142,polygon,1840000072
Edmore,Edmore,ND,North Dakota,Ramsey,38071,58330,48.4133374,-98.4542795,182,polygon,1840000073
Hampden,Hampden,ND,North Dakota,Ramsey,38071,58338,48.5402849,-98.6542903,48,polygon,1840000074
Lawton,Lawton,ND,North Dakota,Ramsey,38071,58345,48.3027789,-98.3692741,30,polygon,1840000075
Ardoch,Ardoch,ND,North Dakota,Walsh,38099,58261,48.2072096,-97.3422986,67,polygon,1840000076
Edinburg,Edinburg,ND,North Dakota,Walsh,38099,58227,48.4966607,-97.8620378,196,polygon,1840000077
Fairdale,Fairdale,ND,North Dakota,Walsh,38099,58229,48.4908325,-98.2312186,38,polygon,1840000078
Fordville,Fordville,ND,North Dakota,Walsh,38099,58231,48.2174934,-97.7906451,212,polygon,1840000079
Forest River,Forest River,ND,North Dakota,Walsh,38099,58233,48.2152672,-97.4681352,125,polygon,1840000080
Grafton,Grafton,ND,North Dakota,Walsh,38099,58237,48.4122108,-97.410634,4284,polygon,1840000081
